id_operacion,hora,cirujano
0,10:00:00,PERISIC Ivan
1,01:30:00,RICARDO
2,12:00:00,LEMAR Thomas
3,12:00:00,ABDULMALEK ALKHAIBRI
4,12:00:00,SHAQIRI Xherdan
5,12:00:00,DIOUF Mame
6,12:00:00,NORDFELDT Kristoffer
7,03:00:00,AYALA Hugo
8,10:00:00,CORLUKA Vedran
9,06:00:00,OMAR OTHMAN
10,07:30:00,TAGLIAFICO Nicolas
11,01:00:00,MAALOUL Ali
12,03:00:00,HADDADI Oussama
13,12:00:00,LO CELSO Giovani
14,11:00:00,KI Sungyueng
15,09:00:00,ZUBER Steven
16,04:00:00,ARRIZABALAGA Kepa
17,08:00:00,RUNARSSON Runar
18,12:00:00,MAGUIRE Harry
19,04:00:00,ROJO Marcos
20,08:00:00,MOHAMMADI Milad
21,09:00:00,ABDULMALEK ALKHAIBRI
22,11:00:00,INIESTA Andres
23,12:00:00,ABDALLA SAID
24,07:00:00,RENATO AUGUSTO
25,12:00:00,CAMPBELL Joel
26,06:00:00,DOS SANTOS Giovani
27,08:00:00,EKDAL Albin
28,09:30:00,FALCAO Radamel
29,10:00:00,HENDERSON Jordan
30,10:00:00,BOUHADDOUZ Aziz
31,12:20:00,JANG Hyunsoo
32,12:00:00,LUONGO Massimo
33,12:00:00,AMRABAT Sofyan
34,12:00:00,FAHAD ALMUWALLAD
35,06:00:00,BALOGUN Leon
36,02:10:00,CHERYSHEV Denis
37,09:30:00,MOJICA Johan
38,07:00:00,DIALLO Abdoulaye
39,08:00:00,BEHRAMI Valon
40,12:00:00,MARCELO
41,12:30:00,CUADRADO Jose
42,05:00:00,MINA Yerry
43,09:30:00,CUEVA Christian
44,12:00:00,SVENSSON Gustav
45,11:30:00,HADDADI Oussama
46,06:45:00,ABDULLAH ALKHAIBARI
47,07:00:00,KUTEPOV Ilya
48,11:00:00,RONNOW Frederik
49,07:30:00,MERTENS Dries
50,12:00:00,SAUL
51,12:00:00,MODRIC Luka
52,12:00:00,GUENDOGAN Ilkay
53,10:30:00,BUTLAND Jack
54,07:00:00,COSTA Diego
55,12:00:00,GABRIEL JESUS
56,12:00:00,AZMOUN Sardar
57,12:00:00,SILVA Gaston
58,12:00:00,ACUNA Marcos
59,12:00:00,DELANEY Thomas
60,04:00:00,BRAITHWAITE Martin
61,04:00:00,JOVIC Luka
62,07:25:00,FISCHER Viktor
63,02:30:00,ALI GABR
64,08:15:00,TRAUSTASON Arnor
65,05:00:00,GUZMAN David
66,08:30:00,ASENSIO Marco
67,06:30:00,HERNANDEZ Lucas
68,12:00:00,KALINIC Nikola
69,12:00:00,AYALA Hugo
70,12:00:00,KOLAROV Aleksandar
71,12:00:00,DUARTE Oscar
72,12:00:00,RUDY Sebastian
73,12:00:00,CORONA Jose
74,12:00:00,BEIRANVAND Ali
75,12:00:00,OLSEN Robin
76,12:00:00,OVIEDO Bryan
77,09:00:35,ERIKSEN Christian
78,06:00:00,KHAZRI Wahbi
79,12:00:00,PAULINHO
80,12:00:00,CISS Saliou
81,12:00:00,OCHOA Guillermo
82,12:00:00,EMBOLO Breel
83,12:00:00,LAXALT Diego
84,12:00:00,MUSLERA Fernando
85,12:00:00,HWANG Heechan
86,12:00:00,KOVACIC Mateo
87,12:00:00,MERIAH Yassine
88,10:00:00,EL AHMADI Karim
89,12:00:00,MUSA Ahmed
90,11:00:00,HAZARD Eden
91,06:00:00,KHAOUI Saifeddine
92,06:00:00,TEJEDA Yeltsin
93,12:00:00,MUSA Ahmed
94,08:00:00,TAPIA Renato
95,09:00:00,MARCELO
96,04:00:00,BATSHUAYI Michy
97,12:00:00,ANSALDI Cristian
98,12:00:00,GRANAT Vladimir
99,12:00:00,MOHAMMED ALBURAYK
100,12:00:00,GORALSKI Jacek
101,12:00:00,PIMENTEL Valentin
102,12:00:00,ZIELINSKI Piotr
103,12:00:00,LINETTY Karol
104,08:00:00,BIGLIA Lucas
105,07:00:00,GONCALO GUEDES
106,12:00:00,MILIK Arkadiusz
107,12:00:00,VARGAS Camilo
108,12:00:00,GHODDOS  Saman
109,01:00:00,BARRIOS  Wilmar
110,12:17:00,RAMOS Christian
111,09:00:00,CHAALELI Ghaylen
112,01:30:00,RODRIGUEZ Alberto
113,12:00:00,MOHAMMED ALOWAIS
114,10:00:00,SKHIRI Ellyes
115,12:00:00,BEIRANVAND Ali
116,12:00:00,TEJADA Luis
117,12:00:00,MURILLO Michael
118,12:00:00,STRYGER LARSEN Jens
119,05:00:00,SHIBASAKI Gaku
120,12:00:00,CARTAGENA Wilder
121,08:00:00,DJOUROU Johan
122,12:00:00,SHIBASAKI Gaku
