id_operacion,hora,cirujano,QUIROFANO_id_quirofano
1118570,10:00:00,NEUER Manuel,24
1121510,01:30:00,DELANEY Thomas,17
1125426,12:00:00,ABDALLA SAID,16
1130606,12:00:00,IWOBI Alex,20
1131853,12:00:00,ANTHONY LOPES,13
1133165,12:00:00,GIMENEZ Jose,1
1139016,12:00:00,RICARDO QUARESMA,19
1141493,03:00:00,EN NESYRI Youssef,16
1142258,10:00:00,MILIVOJEVIC Luka,14
1146376,06:00:00,OLSSON Martin,9
1146810,07:30:00,HIGUAIN Gonzalo,2
1148249,01:00:00,MOHAMED ABDELSHAFY,20
1157416,03:00:00,SUAREZ Luis,19
1161631,12:00:00,MOHAMMED ALBURAYK,16
1162469,11:00:00,MOHAMMED ALBURAYK,7
1163302,09:00:00,KIM Younggwon,8
1164625,04:00:00,BIGLIA Lucas,17
1167986,08:00:00,CARVALLO Jose,6
1170988,12:00:00,BEDOUI Rami,2
1177657,04:00:00,FABIAN Marco,4
1179599,08:00:00,MARCELO,8
1183346,09:00:00,RAMOS Sergio,1
1201179,11:00:00,SAEVARSSON Birkir,12
1203405,12:00:00,NEUER Manuel,20
1207591,07:00:00,ZIYACH Hakim,0
1208608,12:00:00,AQUINO Pedro,18
1216084,06:00:00,TIELEMANS Youri,16
1221768,08:00:00,MBAPPE Kylian,24
1222467,09:30:00,TAISON,10
1224518,10:00:00,SANTAMARIA Anderson,23
1227477,10:00:00,SILVA Martin,20
1239845,12:20:00,LUSTIG Mikael,11
1241257,12:00:00,HASEBE Makoto,11
1243096,12:00:00,DUARTE Oscar,15
1244007,12:00:00,CORONA Jesus,11
1248045,06:00:00,NAGUEZ Hamdi,9
1252498,02:10:00,MIKEL John Obi,8
1255441,09:30:00,POURALIGANJI Morteza,10
1258929,07:00:00,MOON Seonmin,3
1262644,08:00:00,KURZAWA Rafal,1
1264420,12:00:00,OSAMA HAWSAWI,22
1268434,12:30:00,BEN ALOUANE Yohan,4
1269600,05:00:00,ONAZI Ogenyi,4
